compound,cluster,n_bins,T_lo,T_hi,k_ref,k_pred,ape_med,ape_worst,worst_bin,ratio,r_lo,r_hi,n_doi,T_span,meas_slope,in2x_all,broken
AlVNi,half:X=Al,5,300.0,700.0,8.8,7.518734840454661,27.577439831302446,45.90933333333332,66.41935483870967,0.8479958437938327,0.7157838714466201,1.4590933333333331,1,423.0,-0.8344692450071882,True,False
BaAgSb,half:X=Ba,8,300.0,1000.0,0.8877841618552265,0.5198760214758539,37.21718271752578,60.523235246159615,80.93022300529859,0.6278281728247421,0.3947676475384039,0.7765058932267193,2,712.1582,-1.5721197410943724,False,False
CuAgTe,half:X=Cu,5,300.0,700.0,0.2432745587946863,1.4877612380769567,511.55644283073843,669.4225325864038,1599.9647260254037,6.115564428307384,3.8008264508479703,7.694225325864038,4,405.66229999999996,-1.2662476951405055,False,True
DyNiSb,half:X=Dy,8,200.0,900.0,2.9658027570848784,3.9955916161576246,31.852193444675322,42.99857436749238,62.322482531277586,1.2583009100047509,0.9429324858936547,1.3860727127359564,1,746.1,-0.5622920096204451,True,False
DySbPt,half:X=Dy,4,300.0,900.0,3.65,2.402800310712614,34.016243754075695,50.77121493711236,62.9936176602959,0.6598375624592431,0.49228785062887637,0.7664953383458647,1,575.0,-0.012758071099739232,False,False
ErBiPd,half:X=Er,7,400.0,1000.0,5.428967707980956,2.172,59.99239419296949,69.30821201212473,74.45869184320854,0.4000760580703051,0.30691787987875263,0.4071860653638197,1,630.9935,-0.09123226983177374,False,False
ErNiSb,half:X=Er,9,200.0,1000.0,3.887669441105584,4.117018059059164,21.489360397963804,28.841402522422726,58.3924039903834,0.989986866193591,0.8416682562706225,1.0838634566817325,2,769.2713000000001,-0.23970296579070435,True,False
ErSbPd,half:X=Er,9,200.0,1000.0,5.650656177311548,2.3019515858946495,56.91911417419482,69.44821391724987,76.3498137242431,0.43080885825805176,0.3535829965575072,0.4502114450835983,2,787.9257,0.8841435191623656,False,True
GdBiPd,half:X=Gd,8,300.0,1000.0,3.643764761743374,1.9603108182437188,49.781855098063346,58.40764719250086,70.71053853379551,0.5021814490193666,0.41592352807499133,0.591475909293155,1,629.0109,0.028513153598651704,False,True
HfCoSb,half:X=Hf,8,300.0,1000.0,8.703934984566342,5.299838832948184,34.63334318270485,47.455379967213545,66.38976342721995,0.6536665681729514,0.5254462003278645,0.7204244574221235,3,669.0618,-0.5498965081782452,True,False
